"Okay, we believe you. Great work!",,好的，我们相信你。干得漂亮！
One thing I can always count on:,,我总能相信一件事：
Overcast,,乌云密布
부품,,部件
권장되지 않는 부품,,不推荐使用
부품,,部件
단계 0,,阶段0
단계 1,,阶段1
단계 2,,阶段2
전원 사용,,电量使用
이전:,,前一个：
가격,,价格
제품 비용,,产品成本
제품:,,产品：
생산 비용,,产品成本
프로토타입,,原型
PUZZLE ARCHIVE,,谜题档案
부품이 자신에게 연결됨,,部件自连
부품이 보드 위에 있지 않음,,部件超出面板边界
부품이 쉬지 않음,,部件持续循环
부품이 쉬지 않음 (읽기 중 블록됨),,部件持续循环（读取时阻塞）
부품이 쉬지 않음 (쓰기 중 블록됨),,部件持续循环（写入时阻塞）
수동 적외선 센서,,被动红外感应器
개인용 샌드위치 조립기,,个人三明治组装机
개인용 샌드위치 제작기,,个人三明治制作机
핀이 존재하지 않음,,引脚不存在
핀이 연결되지 않음,,引脚未连接
핀 유형이 일치하지 않음,,引脚类型不匹配
휴대용 주역 점괘,,袖珍易经预测仪
오염 감지 스마트 창문,,污染监测智能窗
Poor,,空气质量差
정밀 식품 저울,,精确食品秤
프로토타입 영역,,原型设计区
R,KEY NAME,R
해상도,,分辨率
이메일로 돌아가기,,回到电子邮件
재검증 필요,,需要重新确认
비,,雨
Re:,,Re:
레지스터가 존재하지 않음,,存储器不在
원격 정지 스위치,,远程退出开关
SHENZHEN I/O 트레일러,,深圳 I/O 预告片
부품 보이기,,展示部件
프로파일러 보이기,,显示分析器
신호 보이기,,展示信号
배선 보이기,,展示电线
SIZE 1,,数量1
SIZE 2,,数量2
SIZE 3,,数量3
사운드 볼륨,,音量大小
명세,,规格
스팀 창작마당,,蒸汽工坊
안전망 추적 배지,,安全网追踪徽章
Scientific chronometer,,科学精确计时器
203 구 (商住区) - CAM 02 - LIVE,,203区 (商住区) - 2号监控 - 实时
"자치 공국 아발론 시티 203 구",,203区，阿瓦隆城独立公国
Simple,,简单
스마트 그리드 제어 라우터,,智能电网控制路由
내가 선전에서 무엇을 했더라?,,我在深圳有什么成就？
솔리테어,,纸牌游戏
Somewhere I could do what I was meant to do.,,那是一个我能发挥自身天分的地方。
스포일러 차단 헤드폰,,防剧透耳机
맑음,,晴天
여우비,,太阳雨
초밥 제작 로봇,,寿司机器人
TAB,KEY NAME,TAB
테스트 시작,,测试运行
THIS:,,本案：
TIME 1,,时间1
TIME 2,,时间2
TIME 3,,时间3
TYPE 1,,型号1
TYPE 2,,型号2
TYPE 3,,型号3
The free cells in the top-left corner of the table can store one card of any type.,,在桌面左上角的空位可以存储任何类型纸牌。
"There's no way for us to verify this, so we're trusting you.",,我们无法证实，所以选择相信你。
토륨 반응로 상태 모니터,,钛反应堆状态
To the start of something new.,,开始创造新事物。
"승리하려면, 테이블의 우측 상단에 세 벌의 카드를 1부터 9까지 쌓으세요.",,要想获胜，需要将三套牌按照从 1 到 9 的顺序放到右上端桌角处。
Token-based payment kiosk,,古钱币付款终端
피연산자가 너무 많음,,操作数过多
교통 신호,,交通信号
Type,,类型
업로드,,上载
업로드 에러:,,上载错误：
알 수 없는 최적화 장치,,不明优化设备
스팀 창작마당에 명세 업로드 중...,,将设计上载到创意工坊……
VALUE,,数
검증,,确认
검증 완료:,,确认完成：
Value,,数据
Very Poor,,非常差
가상 현실 버저,,仿真蜂音器
승리한 횟수,,胜利次数计数
Weather:\nTemperature:\nAir Quality:\nDrone Activity:,,天气：\n温度:\n空气质量:\n无人机活动:
"When all four dragons of a single type are exposed, they can all be permanently moved to an open free cell by pushing the corresponding button.",,当四个同类花牌都暴露在桌面上时，可以按下相应按钮，将它们永久移动到一个开放空白单元位置。
솔리테어에서 승리하세요,,赢一盘纸牌游戏
무선 게임 컨트롤러,,无线游戏控制器
XBus,,XBus
이 명세에 대해 동작하는 설계를 만들었습니다!\n\n하단의 *업로드* 버튼을 눌러서 스팀 창작마당에 이 명세를 업로드하세요.,,你已创建了一个符合规格的可用设计。\n\n 点击下方的*上传*键将该设计上传至蒸汽工坊。
스팀 창작마당에 업로드하려면 해당 명세에 대해 동작하는 설계를 만들어야 합니다.,,你需要先创建一个符合规格的可用设计，才能将设计上传至蒸汽工坊。
"퍼즐 진행 상황은 그대로지만, 다시 돌아갈 수는 없습니다!",,你依然可以访问所有谜题，但你将无法再返回过去！
퍼즐에 계속 접근할 수 있습니다.,,你依然可以访问所有谜题。
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,你已经成功完成了一次测试运行！继续运行模拟，从而完成验证过程。
a,SIGNAL NAME,a
활성화,SIGNAL NAME,活动状态
알람,SIGNAL NAME,闹钟
생존,SIGNAL NAME,活着
오디오-입력,SIGNAL NAME,音频输入
오디오-출력,SIGNAL NAME,音频输出
b,SIGNAL NAME,b
종,SIGNAL NAME,铃
청색,SIGNAL NAME,蓝色
빵,SIGNAL NAME,面包
버튼,SIGNAL NAME,按钮
버저,SIGNAL NAME,蜂音器
카드-리더,SIGNAL NAME,读卡器
현금-100,SIGNAL NAME,现金100
현금-20,SIGNAL NAME,现金20
현금-50,SIGNAL NAME,现金50
치즈,SIGNAL NAME,奶酪
클릭-0,SIGNAL NAME,点击0
클릭-1,SIGNAL NAME,点击1
conceptMAIL,,概念MAIL
conceptSPEC,,概念SPEC
control,SIGNAL NAME,控制
조작-입력,SIGNAL NAME,控制输入
조작-출력,SIGNAL NAME,控制输出
크랜베리,SIGNAL NAME,蔓越莓
데이터,SIGNAL NAME,数据
detect,SIGNAL NAME,检测
디스플레이,SIGNAL NAME,显示
display output,,显示输出
음료-0,SIGNAL NAME,喝-0
음료-1,SIGNAL NAME,喝-1
음료-2,SIGNAL NAME,喝-2
응급,SIGNAL NAME,紧急车辆
에러,SIGNAL NAME,错误
뻗기,SIGNAL NAME,伸出
사출,SIGNAL NAME,压出机
발사,SIGNAL NAME,射击
fish,SIGNAL NAME,鱼
깃발,SIGNAL NAME,旗
조명-20,SIGNAL NAME,泛光20
조명-60,SIGNAL NAME,泛光60
food-a,SIGNAL NAME,食物a
food-b,SIGNAL NAME,食物b
반칙,SIGNAL NAME,犯规
gate-a,SIGNAL NAME,闸门a
gate-b,SIGNAL NAME,闸门b
gate-c,SIGNAL NAME,闸门c
진,SIGNAL NAME,杜松子
잡기,SIGNAL NAME,抓握
녹색,SIGNAL NAME,绿色
harvest,SIGNAL NAME,收割
상위-입력,SIGNAL NAME,较大输入
상위-출력,SIGNAL NAME,较大输出
피격,SIGNAL NAME,击中
입력-1,SIGNAL NAME,投入口1
입력-12,SIGNAL NAME,投入口12
입력-5,SIGNAL NAME,投入口5
잉크-k,SIGNAL NAME,墨水k
잉크-n,SIGNAL NAME,墨水n
입력,SIGNAL NAME,输入
input,,输入
키패드,SIGNAL NAME,小键盘
키워드,SIGNAL NAME,关键字
레이저,SIGNAL NAME,激光
기억,SIGNAL NAME,学习
레몬,SIGNAL NAME,柠檬
light,SIGNAL NAME,灯
light-0,SIGNAL NAME,灯0
light-1,SIGNAL NAME,灯1
light-2,SIGNAL NAME,灯2
라임,SIGNAL NAME,莱姆
logos-data,SIGNAL NAME,logos数据
logos-pump,SIGNAL NAME,logos泵
하위-입력,SIGNAL NAME,较小输入
하위-출력,SIGNAL NAME,较小输出
자기,SIGNAL NAME,磁
극대화,SIGNAL NAME,最优化
고기,SIGNAL NAME,肉
mesh-data,SIGNAL NAME,网眼数据
계량기-입력,SIGNAL NAME,电表输入
계량기-출력,SIGNAL NAME,电表输出
모터,SIGNAL NAME,电机
모터-0,SIGNAL NAME,电机0
모터-1,SIGNAL NAME,电机1
모터-2,SIGNAL NAME,电机2
모터-3,SIGNAL NAME,电机3
모터-x,SIGNAL NAME,电机x
모터-y,SIGNAL NAME,电机y
머스타드,SIGNAL NAME,芥末
negated,SIGNAL NAME,已取消
네트워크,SIGNAL NAME,网络
non-blocking,,非阻塞
none,,无
점괘,SIGNAL NAME,预测符
출력-1,SIGNAL NAME,找零口1
출력-5,SIGNAL NAME,找零口5
출력,SIGNAL NAME,输出
output,,输出
무시,SIGNAL NAME,撤销
득점,SIGNAL NAME,得分
전원,SIGNAL NAME,电源
전원-0,SIGNAL NAME,电源0
전원-1,SIGNAL NAME,电源1
전원-2,SIGNAL NAME,电源2
제품,SIGNAL NAME,产品
파동,SIGNAL NAME,脉冲
레이더-입력,SIGNAL NAME,雷达输入
레이더-출력,SIGNAL NAME,雷达输出
레이더-핑,SIGNAL NAME,脉冲雷达
레이더-싱크,SIGNAL NAME,同步雷达
무선-rx,SIGNAL NAME,无线rx
무선-tx,SIGNAL NAME,无线tx
난수,SIGNAL NAME,随机
recommended,,推荐使用
적색,SIGNAL NAME,红色
재장전,SIGNAL NAME,添弹
reset-off,SIGNAL NAME,关闭重置
부활,SIGNAL NAME,复活
쌀,SIGNAL NAME,米
score-1,SIGNAL NAME,得分1
score-2,SIGNAL NAME,得分2
sense-0,SIGNAL NAME,传感器0
sense-1,SIGNAL NAME,传感器1
sense-2,SIGNAL NAME,传感器2
sense-3,SIGNAL NAME,传感器3
sense-4,SIGNAL NAME,传感器4
sense-5,SIGNAL NAME,传感器5
센서,SIGNAL NAME,传感器
simple,,简单
음파,SIGNAL NAME,声纳
스피커,SIGNAL NAME,扬声器
stage-1,SIGNAL NAME,阶段1
stage-2,SIGNAL NAME,阶段2
stage-3,SIGNAL NAME,阶段3
stage-4,SIGNAL NAME,阶段4
start-stop,SIGNAL NAME,开始停止
tag-reader,SIGNAL NAME,标签阅读器
target-x,SIGNAL NAME,靶x
target-y,SIGNAL NAME,靶y
telos-data,SIGNAL NAME,telos数据
telos-pump,SIGNAL NAME,telos泵
temp,SIGNAL NAME,温度
time,SIGNAL NAME,时间
기기-청소,SIGNAL NAME,清洁工具
기기-양분,SIGNAL NAME,加液工具
touch,SIGNAL NAME,触杀
방아쇠,SIGNAL NAME,扣扳机
열림,SIGNAL NAME,解锁
밸브-0,SIGNAL NAME,阀0
밸브-1,SIGNAL NAME,阀1
밸브-2,SIGNAL NAME,阀2
밸브-α,SIGNAL NAME,阀α
밸브-β,SIGNAL NAME,阀β
밸브-ψ,SIGNAL NAME,阀ψ
베르무트,SIGNAL NAME,苦艾
보드카,SIGNAL NAME,伏特加
무게,SIGNAL NAME,重量
창문,SIGNAL NAME,窗户
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} 成本 | {1} 用电量 | {2} 代码行数
“That’s just not something we do in this country. Not anymore.”,,我们在这个国家里不能这么做。现在已经不再允许了。
